category,best_lag,mae,rmse,direction_accuracy,n_predictions,mean_actual,mean_predicted
경제이론/학술,4,4.69,5.79,0.5,41,9.03,10.54
테크/스타트업,4,6.28,8.38,0.5,41,15.89,17.31
부동산/실물자산,4,6.8,9.61,0.675,41,11.21,12.86
지정학/국제정세,2,6.91,8.54,0.7143,43,8.49,6.03
금융시스템/위기,2,7.62,11.11,0.619,43,10.52,6.41
재테크/개인금융,3,8.31,10.19,0.4878,42,40.38,40.64
투자철학/대가,3,8.38,10.69,0.561,42,15.19,15.93
거시경제/금융정책,3,10.35,12.95,0.4878,42,29.73,22.57
주식투자/트레이딩,2,10.56,13.51,0.4524,43,65.84,65.47
기업경영/리더십,4,11.7,15.2,0.525,41,13.74,22.58
